Informante,Genero,GpoEtario,Edad,ANacimiento,NivelEducativo,Ahora,Ahorita,Total general
E100.61H.Bajo,H,V,61,1945,Bajo,34,20,54
E101.68H.Bajo,H,V,68,1940,Bajo,1,11,12
E102.75H.Bajo,H,V,75,1932,Bajo,27,8,35
E103.60M.Bajo,M,V,60,1939,Bajo,20,32,52
E104.91M.Bajo,M,V,91,1910,Bajo,39,15,54
E105.70M.Bajo,M,V,70,1930,Bajo,33,16,49
E106.57M.Bajo,M,V,57,1949,Bajo,11,4,15
E107.76M.Bajo,M,V,76,1930,Bajo,15,4,19
E108.78M.Bajo,M,V,78,1929,Bajo,14,5,19
E10.M30.Alta,M,J,30,1974,Alto,5,23,28
E11.M21.Alta,M,J,21,1983,Alto,8,8,16
E12.M21.Alta,M,J,21,1983,Alto,3,18,21
E13.H37.Alta,H,A,37,1959,Alto,12,1,13
E14.H51.Alta,H,A,51,1948,Alto,6,2,8
E15.H44.Alta,H,A,44,1957,Alto,2,3,5
E16.H49.Alta,H,A,49,1952,Alto,8,10,18
E17.H39.Alta,H,A,39,1965,Alto,10,1,11
E18.H45.Alta,H,A,45,1960,Alto,9,10,19
E19.M38.Alta,M,A,38,1961,Alto,24,2,26
E1.H25.Alta,H,J,25,1974,Alto,10,4,14
E20.M53.Alta,M,A,53,1947,Alto,10,3,13
E21.M43.Alta,M,A,43,1961,Alto,11,8,19
E22.M37.Alta,M,A,37,1967,Alto,13,24,37
E23.M41.Alta,M,A,41,1963,Alto,15,15,30
E24.M40.Alta,M,A,40,1964,Alto,42,4,46
E25.H56.Alta,H,V,56,1941,Alto,13,4,17
E26.H55.Alta,H,V,55,1944,Alto,16,7,23
E27.H69.Alta,H,V,69,1932,Alto,11,1,12
E28.H63.Alta,H,V,63,1941,Alto,5,4,9
E29.H64.Alta,H,V,64,1940,Alto,17,1,18
E2.H25.Alta,H,J,25,1975,Alto,3,7,10
E30.H72.Alta,H,V,72,1934,Alto,17,2,19
E31.M65.Alta,M,V,65,1936,Alto,21,6,27
E32.M57.Alta,M,V,57,1945,Alto,9,14,23
E33.M56.Alta,M,V,56,1947,Alto,11,11,22
E34.M62.Alta,M,V,62,1941,Alto,11,2,13
E35.M62.Alta,M,V,62,1941,Alto,2,13,15
E36.M58.Alta,M,V,58,1947,Alto,13,7,20
E37.H33.Media,H,J,33,1966,Medio,9,21,30
E38.H32.Media,H,J,32,1967,Medio,8,7,15
E39.H25.Media,H,J,25,1975,Medio,2,8,10
E3.H30.Alta,H,J,30,1971,Alto,12,25,37
E40.H30.Media,H,J,30,1969,Medio,14,12,26
E41.H22.Media,H,J,22,1981,Medio,46,11,57
E42.H21.Media,H,J,21,1986,Medio,3,24,27
E43.M33.Media,M,J,33,1964,Medio,6,13,19
E44.M34.Media,M,J,34,1966,Medio,14,11,25
E45.M28.Media,M,J,28,1973,Medio,9,4,13
E46.M30.Media,M,J,30,1971,Medio,11,18,29
E47.M25.Media,M,J,25,1977,Medio,10,15,25
E48.M27.Media,M,J,27,1978,Medio,5,20,25
E49.H41.Media,H,A,41,1958,Medio,24,10,34
E4.H26.Alta,H,J,26,1975,Alto,2,9,11
E50.H43.Media,H,A,43,1956,Medio,21,4,25
E51.H35.Media,H,A,35,1970,Medio,1,17,18
E52.H37.Media,H,A,37,1968,Medio,23,9,32
E53.H37.Media,H,A,37,1969,Medio,7,13,20
E54.H40.Media,H,A,40,1965,Medio,7,25,32
E55.M48.Media,M,A,48,1952,Medio,12,10,22
E56.M42.Media,M,A,42,1959,Medio,27,15,42
E57.M36.Media,M,A,36,1969,Medio,35,19,54
E58.M54.Media,M,A,58,1951,Medio,20,17,37
E59.M50.Media,M,A,50,1955,Medio,16,7,23
E5.H26.Alta,H,J,26,1978,Alto,23,8,31
E60.M51.Media,M,A,51,1955,Medio,18,9,27
E61.H55.Media,H,V,55,1946,Medio,17,4,21
E62.H58.Media,H,V,58,1947,Medio,15,10,25
E63.H56.Media,H,V,56,1949,Medio,10,7,17
E64.H62.Media,H,V,62,1944,Medio,23,36,59
E65.H59.Media,H,V,59,1946,Medio,12,20,32
E66.H59.Media,H,V,59,1946,Medio,9,3,12
E67.M66.Media,M,V,66,1935,Medio,11,5,16
E68.M57.Media,M,V,57,1945,Medio,4,10,14
E69.M56.Media,M,V,56,1950,Medio,14,5,19
E6.H29.Alta,H,J,29,1972,Alto,26,40,66
E70.M55.Media,M,V,55,1950,Medio,8,19,27
E71.M63.Media,M,V,63,1942,Medio,11,9,20
E72.M56.Media,M,V,56,1950,Medio,9,6,15
E73.H34.Baja,H,J,34,1971,Bajo,20,16,36
E74.H26.Baja,H,J,26,1980,Bajo,14,12,26
E75.H23.Baja,H,J,23,1984,Bajo,36,36,72
E76.H26.Baja,H,J,26,1980,Bajo,2,10,12
E77.H25.Baja,H,J,25,1982,Bajo,9,8,17
E78.H27.Baja,H,J,27,1979,Bajo,2,12,14
E79.27M.Baja,M,J,27,1979,Bajo,2,9,11
E7.M25.Alta,M,J,25,1974,Alto,7,9,16
E80.26M.Baja,M,J,26,1980,Bajo,19,18,37
E81.20M.Baja,M,J,20,1986,Bajo,11,6,17
E82.34M.Baja,M,J,34,1973,Bajo,12,17,29
E83.34M.Baja,M,J,34,1973,Bajo,21,21,42
E84.21M.Baja,M,J,21,1986,Bajo,3,30,33
E85.42H.Baja,H,A,42,1958,Bajo,12,49,61
E86.44H.Baja,H,A,44,1957,Bajo,6,13,19
E87.45H.Baja,H,A,45,1957,Bajo,8,15,23
E88.51H.Baja,H,A,51,1955,Bajo,3,18,21
E89.53H.Baja,H,A,53,1954,Bajo,13,9,22
E8.M29.Alta,M,J,29,1972,Alto,4,10,14
E90.52H.Baja,H,A,52,1955,Bajo,23,11,34
E91.39M.Baja,M,A,39,1962,Bajo,24,12,36
E92.54M.Baja,M,A,54,1952,Bajo,26,28,54
E93.37M.Baja,M,A,37,1969,Bajo,10,19,29
E94.35M.Baja,M,A,35,1971,Bajo,8,11,19
E95.41M.Bajo,M,A,41,1965,Bajo,10,16,26
E96.37M.Bajo,M,A,47,1969,Bajo,12,22,34
E97.69H.Bajo,H,V,69,1927,Bajo,11,5,16
E98.63H.Bajo,H,V,63,1944,Bajo,24,8,32
E99.86H.Bajo,H,V,86,1920,Bajo,16,9,25
E9.M30.Alta,M,J,30,1975,Alto,1,8,9
