base,pos,gw,freq
a,determiner,NOT PARTICULAR,A1
a,determiner,ANY/EVERY,A1
a,determiner,ONE,A1
a,determiner,TYPE,A1
a,determiner,AMOUNTS,A2
a,determiner,AN ACTION,A2
a,determiner,TWO NOUNS,A2
a,determiner,UNIT,A2
a,determiner,WITH FRACTION,A2
a,determiner,PERIOD OF TIME,A2
abandon,verb,LEAVE,B2
abandon,verb,STOP DOING,C1
abandoned,adjective,EMPTY,B2
abandoned,adjective,LEFT SOMEWHERE,B2
ability,noun,none,B1
be able to do sth ,lexical_chunk,none,A2
able,adjective,SMART,C2
abnormal,adjective,none,C1
aboard,adverb,none,C1
aboard,preposition,none,C1
abolish,verb,none,B2
abortion,noun,none,C1
about,preposition,SUBJECT,A1
How/What about?,lexical_chunk,none,A2
How/What about?,lexical_chunk,none,B1
about,adverb,none,A1
be about to do sth ,lexical_chunk,none,B2
above,adverb,HIGHER POSITION,A1
above,preposition,HIGHER POSITION,A1
above,adverb,MORE,A2
above,preposition,MORE,A2
above all,lexical_chunk,none,B1
above,adverb,TOO IMPORTANT,C2
above,preposition,TOO IMPORTANT,C2
above,adverb,none,B1
above,adjective,none,B1
abroad,adverb,none,B1
abrupt,adjective,SUDDEN,C2
abrupt,adjective,QUICK,C2
abruptly,adverb,none,C2
absence,noun,NOT PRESENT,B2
absence,noun,NOT EXISTING,B2
absent,adjective,none,B1
absolute,adjective,none,B2
absolutely,adverb,COMPLETELY,B1
Absolutely!,lexical_chunk,none,B2
Absolutely not.,lexical_chunk,none,C2
absorb,verb,TAKE IN,B2
be absorbed in sth,lexical_chunk,none,B2
absorb,verb,REMEMBER,C1
abstract,adjective,IDEAS,B2
abstract,adjective,ART,B2
absurd,adjective,none,B2
abuse,noun,BAD TREATMENT,B2
abuse,noun,WRONG USE,B2
abuse,noun,WRONG ACTION,C1
abuse,noun,LANGUAGE,C2
abusive,adjective,none,C2
academic,adjective,none,B2
accelerate,verb,HAPPEN,C1
accelerate,verb,VEHICLE,C2
accent,noun,PRONUNCIATION,B1
accent,noun,MARK,B2
accept,verb,AGREE TO TAKE,B1
accept,verb,ADMIT,B2
accept,verb,ALLOW TO JOIN,B2
accept responsibility/blame,lexical_chunk,none,B2
acceptable,adjective,GOOD ENOUGH,B1
acceptable,adjective,ALLOWED,C1
acceptance,noun,none,C1
accepted,adjective,none,C1
access,noun,RIGHT/OPPORTUNITY,B1
access,noun,METHOD,B1
access,verb,none,B2
accessible,adjective,none,B2
accessible,adjective,UNDERSTAND,C2
accessory,noun,none,C1
accident,noun,BAD EVENT,A2
by accident,lexical_chunk,none,B1
accidental,adjective,none,B2
accidentally,adverb,none,B1
acclaimed,adjective,none,C1
accommodations,noun,none,B2
accompany,verb,GO WITH,B1
accompany,verb,HAPPEN TOGETHER,B1
accompany,verb,MUSIC,C2
accomplish,verb,none,C1
of your own accord,lexical_chunk,none,C2
in accordance with sth,lexical_chunk,none,C1
according to,preposition,OPINION,B1
according to,preposition,METHOD,B2
account,noun,BANK,B1
account,noun,REPORT,B2
take account of sth,lexical_chunk,none,B2
take into account sth,lexical_chunk,none,B2
on account of sth,lexical_chunk,none,B2
by all accounts,lexical_chunk,none,C1
account for sth ,lexical_chunk,REASON,C2
account for sth ,lexical_chunk,FORM PART OF,C1
accountable,adjective,none,C2
accountant,noun,none,B1
accumulate,verb,none,C1
accumulation,noun,none,C2
accuracy,noun,none,B2
accurate,adjective,none,B2
accurately,adverb,none,B2
accusation,noun,none,C1
accuse,verb,none,B2
accustomed to sth/doing sth,lexical_chunk,none,C1
ache,noun,none,B1
ache,verb,none,B2
achieve,verb,none,B1
achievement,noun,none,B1
acid,noun,none,B2
acknowledge,verb,ACCEPT,C1
acknowledge,verb,SAY RECEIVED,C1
acquaintance,noun,none,C1
acquire,verb,GET,B2
acquire,verb,LEARN,B2
acre,noun,none,C2
across,adverb,none,A2
across,preposition,none,A2
across the board,lexical_chunk,none,C2
across,preposition,none,A2
act,verb,PERFORM,B1
act,verb,BEHAVE,B1
act,verb,DO SOMETHING,B2
act as sth ,lexical_chunk,none,B2
act,noun,THEATER,B1
act,noun,THING DONE,B2
act,noun,FALSE BEHAVIOR,C2
get your act together,lexical_chunk,none,C2
action,noun,ACTIVITY,B1
action,noun,DO,B2
action,noun,LEGAL PROCESS,C1
course of action,lexical_chunk,none,C1
action,noun,FIGHTING,C2
action,noun,PROCESS,C2
active,adjective,BUSY,B1
active,adjective,GRAMMAR,B1
active,adjective,INVOLVED,B2
active,adjective,VOLCANO,C1
actively,adverb,none,B2
activity,noun,EVENT,A2
activity,noun,WORK,B2
activity,noun,MOVEMENT,B2
actor,noun,none,A2
actual,adjective,REAL,B2
actually,adverb,TRUTH,A2
actually,adverb,SURPRISE,B1
actually,adverb,OPPOSITE,B2
ad,noun,none,A1
adapt,verb,CHANGE BEHAVIOR,B2
adapt,verb,CHANGE SOMETHING,B2
adaptation,noun,none,C1
add,verb,PUT WITH,A2
add,verb,CALCULATE,A2
add,verb,SAY MORE,B1
add insult to injury,lexical_chunk,none,C2
add to sth,lexical_chunk,none,B2
add up (sth) or add (sth) up,lexical_chunk,none,B1
addict,noun,none,B2
addicted,adjective,DRUGS,B2
addicted,adjective,LIKING,B2
addiction,noun,none,B2
addictive,adjective,none,C1
in addition (to),lexical_chunk,none,B1
addition,noun,NEW THING,B2
addition,noun,NUMBERS/AMOUNTS,B2
additional,adjective,none,B2
address,noun,BUILDING DETAILS,A1
address,noun,ELECTRONIC,A1
address,verb,DEAL WITH,C1
address,verb,SPEAK,C2
address,verb,BUILDING DETAILS,C2
adequate,adjective,ENOUGH,B2
adequate,adjective,GOOD ENOUGH,B2
adequately,adverb,none,B2
adjacent,adjective,none,C2
adjective,noun,none,A2
adjust,verb,CHANGE,B2
adjust,verb,CHANGE BEHAVIOR,B2
adjustment,noun,none,B2
administration,noun,ORGANIZING,C1
administration,noun,MANAGEMENT,C2
administration,noun,GOVERNMENT,C2
administrative,adjective,none,C1
administrator,noun,none,C1
admiration,noun,none,B2
admire,verb,LOOK AT,B1
admire,verb,RESPECT,B2
admission,noun,MONEY,B1
admission,noun,PERMISSION,B2
admit,verb,none,B1
admittedly,adverb,none,B2
adolescent,noun,none,C2
adopt,verb,TAKE CHILD,B2
adopt,verb,START,B2
adopted,adjective,none,B2
adoption,noun,none,B2
adult,noun,none,A1
adult,adjective,FOR ADULTS,A2
adult,adjective,NOT A CHILD,C1
in advance,lexical_chunk,none,B1
advance,noun,PROGRESS,B2
advanced,adjective,HIGHER LEVEL,A2
advanced,adjective,MODERN,B1
advantage,noun,USEFUL THING,B1
take advantage of sth ,lexical_chunk,none,B1
take advantage of sb/sth ,lexical_chunk,none,B2
advantage,noun,SUCCESS,B2
adventure,noun,none,A2
adventurous,adjective,none,B2
adverb,noun,none,A2
adverse effect(s)/reaction(s)/conditions,lexical_chunk,none,C2
advertise,verb,TRY TO SELL,B1
advertise,verb,ASK FOR,B1
advertisement,noun,none,A2
advertising,noun,none,B2
advice,noun,none,A2
advise,verb,none,B1
adviser,noun,none,C1
advocate,verb,none,C2
advocate,noun,none,C2
affair,noun,SITUATION,B2
affair,noun,RELATIONSHIP,B2
affect,verb,CAUSE CHANGE,B2
affect,verb,CAUSE EMOTION,B2
affection,noun,none,B2
affectionate,adjective,none,C2
affluent,adjective,none,C1
can afford,lexical_chunk,none,B1
cannot afford,lexical_chunk,none,C2
affordable,adjective,none,C1
I'm afraid...,lexical_chunk,none,A2
afraid,adjective,FEAR,A2
afraid,adjective,WORRIED,B1
after,preposition,TIME/EVENT,A1
after,preposition,PAST A PLACE,A2
after,preposition,ORDER,A2
after,preposition,FOLLOWING,B1
after all,lexical_chunk,none,B1
"day after day/year after year, etc.",lexical_chunk,none,B1
after,preposition,BECAUSE OF,B2
after,preposition,DESPITE,C1
after all,lexical_chunk,none,C1
after,preposition,NAMED FOR,C2
after,adverb,none,A2
after,conjunction,none,B1
afternoon,noun,none,A1
afterward,adverb,none,A2
again,adverb,ONE MORE TIME,A1
again,adverb,AS BEFORE,A2
again and again,lexical_chunk,none,B1
once again,lexical_chunk,none,B1
all over again,lexical_chunk,none,B2
yet again,lexical_chunk,none,B2
then again,lexical_chunk,none,C2
against,preposition,COMPETING,A2
against,preposition,TOUCHING,A2
against,preposition,OPPOSITE DIRECTION,B1
against,preposition,NOT AGREE,B2
